epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,8433.9,0.64919,0.41983,0.01255,0.78921,0.70337,0.73974,0.6079,0.67102,0.8233,0.01373,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8525.36,0.62889,0.39241,0.01197,0.82876,0.68341,0.74063,0.60787,0.67383,0.82171,0.01375,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,8616.44,0.6181,0.37964,0.01168,0.82126,0.68857,0.74005,0.6074,0.67608,0.83691,0.0138,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,8707.61,0.6079,0.37098,0.0115,0.83141,0.67884,0.74031,0.60856,0.67103,0.84028,0.01379,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,8798.87,0.60042,0.35832,0.01136,0.80552,0.69554,0.74135,0.60966,0.66561,0.83996,0.0137,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,8889.9,0.59175,0.36367,0.01119,0.79673,0.70177,0.73995,0.61052,0.66608,0.83401,0.01374,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,8980.86,0.58876,0.35817,0.01112,0.79892,0.69409,0.73894,0.60968,0.66491,0.83893,0.01371,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,9071.94,0.57838,0.34926,0.01088,0.81127,0.68628,0.73807,0.60722,0.66221,0.84478,0.01365,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,9163.54,0.5781,0.35335,0.0109,0.86498,0.65858,0.73704,0.60757,0.66116,0.84981,0.01362,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,9254.69,0.57423,0.34718,0.0107,0.79634,0.69501,0.73621,0.60863,0.65865,0.84865,0.0136,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
